,0,1,2
19,Ethylene Dibromide . .. . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Ethylene Dibromide . .. . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.00005
20,Glyphosate. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Glyphosate. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.7
21,Heptachlor. . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Heptachlor. . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.00001
22,Heptachlor Epoxide. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .               ,Heptachlor Epoxide. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .               ,0.00001
23,Hexachlorobenzene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Hexachlorobenzene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.001
24,Hexachlorocyclopentadiene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Hexachlorocyclopentadiene . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.05
25,Lindane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Lindane. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0002
26,Methoxychlor . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Methoxychlor . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.03
27,Molinate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Molinate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.02
28,Oxamyl . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Oxamyl . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.05
29,Pentachlorophenol. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Pentachlorophenol. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.001
30,Picloram . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Picloram . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.5
31,Polychlorinated Biphenyls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Polychlorinated Biphenyls. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0005
32,Simazine . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Simazine . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.004
33,Thiobencarb. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Thiobencarb. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.07
34,Toxaphene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,Toxaphene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.003
35,"1,2,3-Trichloropropane . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","1,2,3-Trichloropropane . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.000005
36,"2,3,7,8-TCDD (Dioxin). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","2,3,7,8-TCDD (Dioxin). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",3 x 10-8
37,"2,4,5-TP (Silvex) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ","2,4,5-TP (Silvex) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ",0.05
