,0,1,2
25,  Heptachlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Heptachlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.00001
26,  Heptachlor epoxide. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Heptachlor epoxide. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.00001
27,  Hexachlorobenzene. . . . . . . .. . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Hexachlorobenzene. . . . . . . .. . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0005
28,  Hexachlorocyclopentadiene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Hexachlorocyclopentadiene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.001
29,  Lindane. . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Lindane. . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0002
30,  Methoxychlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Methoxychlor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.01
31,  Molinate. . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Molinate. . . . . . . . . . . . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.002
32,  Oxamyl. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  Oxamyl. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.02
33,  Pentachlorophenol. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Pentachlorophenol. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.0002
34,  Picloram. . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Picloram. . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.001
35,  Polychlorinated biphenyls (PCBs),  Polychlorinated biphenyls (PCBs),
36,  (as decachlorobiphenyl). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,  (as decachlorobiphenyl). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,0.0005
37,  Simazine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Simazine. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.001
38,  Thiobencarb. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Thiobencarb. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.001
39,  Toxaphene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,  Toxaphene. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.001
40,"  1,2,3-Trichloropropane . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","  1,2,3-Trichloropropane . . . . .  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.000005
41,"  2,3,7,8-TCDD (Dioxin). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","  2,3,7,8-TCDD (Dioxin). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",5 x 10-9
42,"  2,4,5-TP (Silvex). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","  2,4,5-TP (Silvex). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0.001
